0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq147;size=813;	0	0	0	197	0	0	0	37	3	0	131	4	10	278	0	0	0	75	0	0	78	0	0	0	0
sq148;size=808;	0	0	0	0	0	0	0	0	12	0	0	2	672	0	0	118	0	0	0	0	0	0	0	4	0
sq149;size=788;	0	0	0	133	0	0	0	8	3	0	91	63	0	30	0	103	0	3	0	0	354	0	0	0	0
sq150;size=778;	0	0	0	47	2	0	0	57	163	0	34	149	21	0	0	146	0	70	2	0	37	0	0	50	0
sq151;size=759;	0	0	0	21	0	0	0	2	220	0	19	41	0	2	0	123	0	148	0	0	172	0	0	11	0
sq152;size=758;	0	0	0	18	0	0	0	0	0	0	15	591	0	0	0	63	0	0	0	0	0	0	0	71	0
sq153;size=754;	0	0	0	41	0	0	0	92	15	0	28	82	0	7	0	130	0	75	0	1	61	0	0	222	0
sq154;size=748;	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	713	1
sq155;size=736;	0	3	0	0	0	0	0	1	0	0	0	8	704	0	0	14	0	0	0	0	0	0	0	2	4
sq156;size=722;	0	0	0	3	0	0	0	0	148	0	1	382	98	0	0	6	0	2	0	0	0	0	0	82	0
sq157;size=711;	0	0	0	3	0	0	0	0	0	0	9	394	31	0	0	95	0	0	0	0	0	0	0	179	0
sq158;size=708;	0	0	0	3	0	0	0	2	63	0	11	65	294	0	0	196	0	67	0	0	0	0	0	6	1
sq159;size=705;	0	0	0	44	0	0	0	91	10	0	46	9	1	0	0	0	0	3	0	0	487	0	0	14	0
sq160;size=703;	0	0	0	207	0	0	0	134	0	0	181	1	0	103	0	20	0	17	0	0	40	0	0	0	0
sq161;size=702;	0	0	0	0	0	0	0	0	0	0	0	219	230	0	0	33	0	0	0	0	0	0	0	218	2
sq162;size=695;	0	0	0	25	0	0	0	2	14	0	25	36	0	126	0	18	0	271	0	41	122	0	0	15	0
sq163;size=690;	0	1	0	1	0	0	0	2	82	0	0	29	159	0	0	227	0	68	0	0	72	0	0	49	0
sq164;size=687;	0	0	0	41	0	0	0	0	16	0	44	172	0	35	0	87	0	173	0	0	0	0	0	119	0
sq165;size=686;	0	0	0	37	0	0	0	19	130	0	31	227	0	4	0	94	0	81	0	0	38	0	1	24	0
sq166;size=684;	0	0	0	23	0	0	0	3	33	0	2	21	189	0	0	312	0	32	0	0	0	0	0	69	0
sq167;size=683;	0	0	0	0	0	0	0	1	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	619	0
sq168;size=678;	0	0	0	15	0	0	0	7	79	0	13	115	49	0	0	58	0	116	0	0	18	0	0	208	0
sq169;size=677;	0	1	0	0	0	0	0	1	0	0	0	25	474	0	0	0	0	0	0	0	0	0	0	176	0
sq170;size=671;	0	0	0	5	0	0	0	0	202	0	0	140	0	0	0	84	0	40	0	43	8	0	0	149	0
sq171;size=670;	0	0	0	136	0	0	0	8	91	0	140	120	0	0	0	41	0	47	0	0	87	0	0	0	0
sq172;size=668;	0	0	0	8	3	0	0	1	194	0	0	126	0	1	0	64	0	160	0	0	20	0	0	91	0
sq173;size=668;	0	0	0	2	0	0	0	135	165	0	3	44	9	0	0	52	0	214	2	0	0	0	0	42	0
sq174;size=648;	0	0	0	48	1	0	0	16	121	0	61	9	1	37	0	31	1	97	0	0	217	0	0	8	0
sq175;size=646;	0	0	0	183	0	0	0	140	0	0	159	13	0	109	0	2	0	0	0	0	33	0	0	7	0
sq176;size=642;	0	0	0	81	0	0	0	33	0	0	73	0	0	176	0	1	0	0	0	0	277	0	0	0	1
sq177;size=638;	0	0	0	6	0	0	0	8	0	0	14	0	409	20	0	161	0	0	0	0	1	0	0	19	0
sq178;size=626;	0	0	0	0	0	0	0	1	2	0	0	5	606	0	0	8	0	0	0	0	0	3	0	1	0
sq179;size=626;	0	0	0	0	0	0	0	0	13	0	0	0	586	0	0	25	0	0	0	0	0	0	0	1	1
sq180;size=619;	0	0	0	98	0	0	0	18	157	0	84	66	0	85	0	69	0	34	0	1	0	0	0	7	0
sq181;size=618;	0	0	0	193	0	0	0	54	0	0	184	2	0	162	0	0	0	0	0	0	23	0	0	0	0
sq182;size=617;	0	0	0	247	0	0	0	47	0	0	173	0	0	148	0	0	0	2	0	0	0	0	0	0	0
sq183;size=607;	0	0	0	53	0	0	0	68	52	0	46	7	0	182	0	1	0	62	0	0	136	0	0	0	0
sq184;size=606;	0	0	0	32	0	0	0	53	197	0	25	91	0	12	0	11	1	123	0	0	25	0	0	36	0
sq185;size=603;	0	0	0	10	0	0	0	31	37	0	6	21	0	421	0	3	1	38	0	0	35	0	0	0	0
sq186;size=600;	0	0	0	1	0	0	0	0	0	0	0	28	15	0	0	1	0	0	0	0	0	0	0	554	1
sq187;size=595;	0	0	0	72	0	0	0	73	106	0	61	87	0	14	0	46	0	40	0	0	86	0	0	10	0
sq188;size=592;	0	0	0	0	0	0	0	2	83	0	0	3	178	0	0	322	0	0	0	0	0	0	0	4	0
sq189;size=587;	0	0	0	0	0	0	0	0	0	0	0	0	587	0	0	0	0	0	0	0	0	0	0	0	0
sq190;size=585;	0	0	0	48	0	0	0	0	139	0	26	43	42	2	0	7	0	99	0	0	72	0	0	107	0
sq191;size=582;	0	0	0	42	0	0	0	105	113	0	31	48	0	56	0	49	0	52	0	0	64	0	0	22	0
sq192;size=582;	0	0	0	4	0	0	0	3	93	0	1	16	230	3	0	14	0	94	0	0	108	0	0	16	0
sq193;size=573;	39	17	12	17	6	13	49	22	33	14	4	10	15	20	9	25	25	18	9	28	57	28	44	23	36
sq194;size=573;	0	0	0	26	0	0	0	0	0	0	16	15	257	0	0	28	0	0	0	0	0	0	0	230	1
sq195;size=570;	0	0	0	19	0	0	0	33	29	0	17	155	38	87	0	31	0	3	0	0	152	0	0	6	0
sq196;size=568;	0	0	0	101	0	0	0	8	36	0	82	106	0	0	0	38	0	85	0	0	72	0	0	40	0
sq197;size=567;	0	0	0	121	0	0	0	48	21	0	116	36	0	103	0	4	0	59	0	0	47	0	0	12	0
sq198;size=567;	0	0	0	21	0	0	0	6	75	0	15	44	40	0	0	243	0	83	1	0	1	0	0	38	0
sq199;size=565;	0	0	0	0	0	0	0	12	40	0	1	36	150	0	0	136	0	98	0	0	3	0	0	89	0
sq200;size=555;	0	0	0	93	0	0	0	108	76	0	50	72	0	15	0	3	0	113	0	0	9	0	0	16	0
sq201;size=555;	0	0	0	0	0	0	0	35	75	0	1	13	0	40	0	165	0	165	0	0	24	0	0	37	0
sq202;size=554;	0	0	0	0	0	0	0	0	0	0	1	543	0	0	0	9	0	0	0	0	0	0	0	1	0
sq203;size=551;	0	0	0	6	0	0	0	24	42	0	2	11	0	0	0	380	0	13	0	0	1	0	0	72	0
sq204;size=546;	0	0	0	40	0	0	0	8	54	0	26	151	13	1	0	64	0	44	0	0	104	0	0	41	0
sq205;size=540;	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	537	1
sq206;size=529;	0	0	0	72	0	0	0	14	105	0	42	111	8	0	0	34	0	15	0	0	10	0	0	117	1
sq207;size=528;	0	0	0	64	0	0	0	73	59	0	50	14	0	201	0	10	0	1	0	0	56	0	0	0	0
sq208;size=526;	0	0	0	10	0	0	0	37	49	0	7	49	1	65	0	26	0	268	0	0	7	0	0	7	0
sq209;size=525;	0	0	0	106	0	0	0	40	43	0	75	142	0	21	0	29	0	29	0	0	1	0	1	38	0
sq210;size=522;	0	1	0	0	0	0	0	9	34	0	0	2	311	0	1	150	0	0	0	0	0	0	0	14	0
sq211;size=519;	0	0	0	224	0	0	0	24	0	0	118	3	1	94	0	1	0	0	0	0	54	0	0	0	0
sq212;size=516;	0	0	0	25	0	0	0	0	4	0	17	63	7	11	0	181	0	190	0	0	5	0	0	13	0
sq213;size=509;	0	0	0	0	0	0	0	1	0	0	0	25	77	0	0	0	0	0	0	0	0	0	0	406	0
sq214;size=508;	0	0	0	118	0	0	0	112	0	0	81	16	4	160	0	0	0	0	0	0	16	0	0	0	1
sq215;size=507;	0	0	0	0	0	0	0	1	0	0	0	82	249	0	0	0	0	0	0	0	0	0	0	175	0
sq216;size=498;	0	0	0	37	0	0	0	55	31	0	60	16	122	3	0	25	0	144	0	0	5	0	0	0	0
sq217;size=492;	0	0	0	138	0	0	0	136	0	0	123	17	23	12	0	1	0	0	0	0	41	0	0	1	0
sq218;size=490;	1	0	0	1	0	0	0	117	9	0	0	57	0	177	0	38	0	83	0	0	0	0	0	7	0
sq219;size=490;	0	0	0	0	0	0	0	0	102	0	0	84	1	0	0	24	0	43	0	0	0	0	0	236	0
sq220;size=487;	0	0	0	101	0	0	0	122	4	0	105	0	0	125	0	0	0	14	0	0	16	0	0	0	0
sq221;size=486;	0	0	0	2	0	0	0	0	0	0	2	3	432	0	0	0	0	0	0	0	0	0	0	47	0
sq222;size=485;	0	0	0	53	0	0	0	1	93	0	43	122	1	52	0	35	0	33	0	0	12	0	0	40	0
sq223;size=485;	0	0	0	23	0	0	0	0	40	0	17	34	13	223	0	30	0	103	0	0	0	0	0	2	0
sq224;size=483;	0	0	0	127	0	0	0	89	0	0	152	0	0	95	0	6	0	4	0	0	10	0	0	0	0
sq225;size=474;	0	0	0	0	0	0	0	0	167	0	0	141	0	0	0	79	0	0	0	0	0	0	0	87	0
