0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq62;size=4729;	129	97	265	0	89	565	0	378	261	0	233	114	206	212	255	142	268	94	110	169	545	338	163	96	0
sq63;size=4636;	10	48	402	0	4	845	0	0	38	3	0	85	514	0	15	228	0	0	0	274	0	1091	15	1064	0
sq64;size=4617;	270	556	244	1	159	433	0	94	527	0	106	267	79	39	76	89	259	285	111	0	261	175	405	180	1
sq65;size=4607;	398	574	507	0	392	196	0	186	337	0	182	261	35	24	42	74	125	76	30	0	134	140	518	376	0
sq66;size=4552;	59	2	23	0	65	0	0	491	88	210	1237	66	65	572	181	17	271	83	21	0	809	30	260	2	0
sq67;size=4476;	69	148	87	0	66	1	0	10	186	51	0	77	179	16	171	845	118	510	1477	66	3	344	22	30	0
sq68;size=4446;	67	5	0	0	338	0	0	749	5	0	1417	2	131	833	10	17	466	23	0	0	219	1	163	0	0
sq69;size=4442;	176	15	9	0	182	0	0	451	29	2	1706	21	69	394	74	44	469	69	11	79	363	17	262	0	0
sq70;size=4434;	153	158	441	0	219	28	0	170	538	51	162	297	76	104	426	85	241	294	258	50	360	13	222	88	0
sq71;size=4407;	484	487	139	0	296	3	0	150	258	1	147	260	61	69	164	52	260	291	143	6	613	17	333	173	0
sq72;size=4396;	3	20	550	0	0	568	0	2	210	1	240	982	229	0	321	186	6	68	180	760	0	42	4	23	1
sq73;size=4299;	242	17	8	0	171	46	0	638	65	85	383	16	25	643	373	43	532	182	52	1	507	12	256	2	0
sq74;size=4235;	102	15	19	0	214	1	0	244	56	0	1347	79	125	929	33	45	131	23	6	0	434	2	416	14	0
sq75;size=4211;	37	29	80	0	32	0	0	148	545	0	230	58	69	162	716	194	408	258	180	169	224	93	437	142	0
sq76;size=4170;	33	28	25	0	72	0	0	48	70	5	55	30	21	666	650	249	353	1072	519	1	9	1	247	16	0
sq77;size=4152;	321	688	22	0	401	183	1	122	429	5	140	59	21	33	91	61	153	307	28	0	67	290	610	120	0
sq78;size=4082;	154	118	198	0	231	129	0	95	287	0	85	137	79	110	331	247	270	458	471	61	99	59	237	226	0
sq79;size=4082;	111	65	229	0	108	345	2	424	244	4	316	90	175	218	240	123	148	127	72	155	464	175	177	70	0
sq80;size=4080;	3	29	163	0	1	14	0	3	295	0	66	219	933	0	9	224	0	19	11	3	10	588	12	1478	0
sq81;size=4069;	260	349	513	0	439	260	0	108	237	8	88	191	45	17	39	184	48	101	40	123	216	114	348	341	0
sq82;size=4010;	182	191	434	0	344	112	0	140	276	2	93	158	108	70	114	227	83	219	315	194	208	233	105	202	0
sq83;size=4004;	56	135	82	145	156	91	6	50	303	248	39	51	83	33	139	765	53	293	849	83	30	183	39	92	0
sq84;size=3993;	42	84	130	0	70	0	0	32	192	38	93	155	16	347	363	211	573	774	568	25	69	8	81	122	0
sq85;size=3953;	101	189	166	0	95	0	0	53	236	0	12	270	3	117	368	193	404	750	384	0	44	61	317	190	0
sq86;size=3930;	2	46	38	0	22	602	0	12	41	0	9	34	1523	0	9	103	2	23	19	6	0	1253	7	179	0
sq87;size=3841;	132	9	6	0	127	0	0	540	21	0	803	17	37	874	68	46	442	37	10	0	489	2	180	0	1
sq88;size=3792;	371	8	19	0	197	0	0	727	46	0	275	19	34	686	53	21	355	78	11	0	501	7	381	2	1
sq89;size=3769;	39	110	254	0	44	305	0	58	510	54	1	31	208	0	25	659	0	33	73	279	38	506	27	515	0
sq90;size=3735;	17	1	27	0	36	50	0	187	66	0	895	32	105	648	293	75	736	242	59	10	177	4	69	6	0
sq91;size=3708;	4	265	1206	0	0	0	0	0	721	0	1	525	53	0	207	63	5	217	68	133	0	11	0	229	0
sq92;size=3643;	8	96	55	0	80	184	0	20	142	6	2	48	438	11	55	908	28	82	625	235	25	481	9	105	0
sq93;size=3595;	74	176	507	0	72	27	0	36	150	13	28	64	140	26	49	119	26	39	59	1487	38	304	21	140	0
sq94;size=3530;	103	100	311	0	218	0	0	30	171	0	16	173	16	185	255	162	423	605	245	36	87	58	179	157	0
sq95;size=3521;	137	92	137	0	146	314	0	139	236	0	290	151	130	236	260	80	298	109	58	35	376	109	160	28	0
sq96;size=3519;	59	90	321	0	98	55	0	88	299	0	111	154	75	51	313	209	79	113	204	742	75	142	72	169	0
sq97;size=3460;	108	147	287	0	138	33	0	124	447	116	134	263	71	67	311	65	150	210	213	9	267	10	196	94	0
sq98;size=3454;	184	127	140	0	189	0	0	207	189	0	77	138	10	211	239	84	286	517	241	8	136	1	335	135	0
sq99;size=3370;	30	10	33	0	36	0	0	393	227	67	25	57	20	250	248	203	671	337	144	0	416	26	89	88	0
sq100;size=3333;	2	0	15	0	0	0	0	0	62	0	0	19	14	399	573	171	536	1104	83	13	36	3	241	62	0
sq101;size=3282;	112	73	203	0	50	496	0	80	156	26	58	45	44	305	275	74	673	198	59	21	189	38	92	15	0
sq102;size=3273;	8	14	6	0	22	0	0	155	137	0	169	126	29	113	281	199	562	463	772	3	185	2	24	3	0
sq103;size=3204;	371	458	544	0	210	137	0	67	221	0	26	241	5	2	13	25	17	22	9	0	86	64	273	413	0
sq104;size=3110;	209	73	107	0	144	0	0	183	245	12	65	118	33	233	257	64	299	123	66	31	511	63	194	80	0
sq105;size=3013;	166	76	146	0	70	4	86	130	223	0	299	133	46	223	254	50	167	119	59	127	411	69	137	18	0
sq106;size=3003;	85	1	0	1	84	0	0	246	19	0	1321	22	59	520	9	23	138	3	18	1	294	2	157	0	0
sq107;size=2952;	6	48	522	0	3	0	0	0	207	0	28	509	45	0	108	25	1	12	6	1103	0	170	5	154	0
sq108;size=2877;	173	11	24	0	164	1	0	638	38	0	303	14	15	537	44	12	234	57	6	0	341	13	251	1	0
sq109;size=2865;	37	64	287	0	28	198	0	22	227	54	26	110	165	2	86	324	0	29	21	149	26	380	71	559	0
sq110;size=2821;	91	8	13	0	109	1	0	114	29	0	1049	57	185	525	16	24	116	4	4	0	275	6	189	6	0
sq111;size=2735;	140	36	27	0	106	0	0	215	117	1	56	71	17	379	184	59	676	194	145	0	134	23	153	2	0
sq112;size=2711;	12	12	167	0	2	310	0	0	9	0	2	123	420	0	20	169	1	0	13	53	0	877	1	520	0
sq113;size=2666;	164	489	42	0	183	0	0	93	333	493	119	34	20	25	28	34	88	99	11	7	48	138	202	16	0
sq114;size=2662;	2	0	0	0	18	0	0	294	3	0	1113	3	98	573	9	19	234	17	0	0	166	4	109	0	0
sq115;size=2623;	1414	40	7	0	450	0	0	27	4	0	0	2	0	367	20	3	66	33	1	0	16	8	165	0	0
sq116;size=2596;	147	44	18	0	148	309	0	154	84	0	203	35	2	163	153	26	526	304	38	0	153	72	16	1	0
sq117;size=2590;	79	55	57	0	89	0	1	145	75	0	696	63	122	402	91	31	120	21	36	0	252	9	229	17	0
sq118;size=2571;	117	9	17	0	198	0	0	382	5	0	311	5	18	664	34	13	417	49	10	8	138	0	175	1	0
sq119;size=2557;	43	54	381	0	125	133	0	87	90	1	45	34	134	30	66	146	72	95	190	484	46	142	48	111	0
sq120;size=2552;	142	119	152	1	133	587	0	110	144	2	115	97	1	32	61	94	87	39	78	208	72	18	120	140	0
sq121;size=2549;	29	54	98	0	19	150	0	106	117	226	26	28	848	3	6	258	0	14	31	37	60	316	21	102	0
sq122;size=2521;	30	40	81	0	49	0	0	131	165	0	230	80	59	50	107	407	45	105	317	221	149	106	65	84	0
sq123;size=2475;	107	0	0	0	227	0	0	1132	8	0	43	2	20	425	1	12	347	18	5	0	17	0	111	0	0
sq124;size=2475;	1	1	2	0	2	372	0	10	52	582	22	15	21	29	131	463	25	71	526	120	1	15	1	13	0
sq125;size=2471;	16	23	50	0	96	1	0	17	69	0	8	25	0	70	98	254	280	502	959	3	0	0	0	0	0
sq126;size=2427;	155	15	3	0	99	0	0	746	44	0	326	35	55	67	25	19	43	56	15	0	397	94	213	20	0
sq127;size=2416;	28	107	76	0	15	204	0	31	159	0	15	8	530	7	5	217	0	15	19	0	0	884	8	88	0
sq128;size=2387;	39	27	40	0	37	0	0	106	114	0	72	45	29	275	277	36	542	285	133	0	127	5	190	8	0
sq129;size=2360;	52	0	0	1	66	0	0	192	22	0	841	20	86	526	8	4	149	6	21	0	241	0	125	0	0
